epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,717.81,0.63522,0.19312,0,0.3974,0.95895,0.99932,1,0.995,0.72693,0.99932,1,0.995,0.995,1.12033,0.04324,0,0.40449,1.36541,0.0006338,0.0006338,0.0006338
71,727.479,0.5972,0.19119,0,0.36896,0.94157,0.99935,1,0.995,0.73845,0.99935,1,0.995,0.995,1.09098,0.03922,0,0.40337,1.35722,0.000614,0.000614,0.000614
72,737.004,0.60224,0.13261,0,0.36996,0.93825,0.99934,1,0.995,0.70478,0.99934,1,0.995,0.99476,1.13637,0.03898,0,0.4038,1.39628,0.0005942,0.0005942,0.0005942
73,746.98,0.60337,0.18682,0,0.37631,0.94786,0.99935,1,0.995,0.69641,0.99935,1,0.995,0.995,1.10883,0.03744,0,0.42421,1.40864,0.0005744,0.0005744,0.0005744
74,756.02,0.57566,0.15308,0,0.36603,0.9283,0.99936,1,0.995,0.70615,0.99936,1,0.995,0.995,1.10171,0.03317,0,0.40566,1.39139,0.0005546,0.0005546,0.0005546
75,767.535,0.59751,0.15539,0,0.36949,0.94482,0.99936,1,0.995,0.70709,0.99936,1,0.995,0.995,1.15296,0.04073,0,0.42592,1.42262,0.0005348,0.0005348,0.0005348
76,775.747,0.56786,0.13532,0,0.35827,0.92639,0.99935,1,0.995,0.73927,0.99935,1,0.995,0.995,1.11882,0.03967,0,0.39382,1.42431,0.000515,0.000515,0.000515
77,787.198,0.60893,0.16118,0,0.372,0.95972,0.99929,1,0.995,0.71477,0.99929,1,0.995,0.995,1.11816,0.04771,0,0.39714,1.41114,0.0004952,0.0004952,0.0004952
78,795.192,0.57157,0.14279,0,0.36745,0.94186,0.99896,1,0.995,0.68637,0.99896,1,0.995,0.995,1.08996,0.03791,0,0.38959,1.36906,0.0004754,0.0004754,0.0004754
79,806.415,0.5764,0.14285,0,0.35635,0.9236,0.99925,1,0.995,0.70767,0.99925,1,0.995,0.995,1.07083,0.03361,0,0.3915,1.32769,0.0004556,0.0004556,0.0004556
80,817.585,0.56841,0.15251,0,0.35522,0.92869,0.99941,1,0.995,0.70207,0.99941,1,0.995,0.995,1.13106,0.02976,0,0.41552,1.40831,0.0004358,0.0004358,0.0004358
81,830.011,0.58193,0.14715,0,0.35998,0.93387,0.9994,1,0.995,0.70643,0.9994,1,0.995,0.995,1.12339,0.03336,0,0.39453,1.39286,0.000416,0.000416,0.000416
82,841.543,0.55825,0.12404,0,0.34517,0.94548,0.99939,1,0.995,0.70534,0.99939,1,0.995,0.995,1.13054,0.03488,0,0.39147,1.40337,0.0003962,0.0003962,0.0003962
83,849.723,0.56767,0.13279,0,0.35138,0.93001,0.99938,1,0.995,0.714,0.99938,1,0.995,0.995,1.09552,0.03,0,0.38713,1.38603,0.0003764,0.0003764,0.0003764
84,862.002,0.55127,0.12767,0,0.33957,0.92608,0.99931,1,0.995,0.73793,0.99931,1,0.995,0.995,1.08752,0.02931,0,0.39226,1.38578,0.0003566,0.0003566,0.0003566
85,871.308,0.56945,0.13124,0,0.35247,0.92291,0.99793,1,0.995,0.73173,0.99793,1,0.995,0.995,1.118,0.03177,0,0.3946,1.41538,0.0003368,0.0003368,0.0003368
86,882.288,0.54455,0.1041,0,0.34159,0.9115,0.99938,1,0.995,0.72312,0.99938,1,0.995,0.995,1.13514,0.03445,0,0.38554,1.41938,0.000317,0.000317,0.000317
87,893.161,0.55129,0.12588,0,0.34655,0.91132,0.99939,1,0.995,0.70444,0.99939,1,0.995,0.995,1.17554,0.03758,0,0.4047,1.45066,0.0002972,0.0002972,0.0002972
88,905.349,0.53885,0.11554,0,0.33526,0.92689,0.99938,1,0.995,0.71659,0.99938,1,0.995,0.995,1.11378,0.02668,0,0.39061,1.40091,0.0002774,0.0002774,0.0002774
89,916.887,0.55776,0.13372,0,0.34191,0.91946,0.99933,1,0.995,0.70193,0.99933,1,0.995,0.995,1.17509,0.03032,0,0.40554,1.45638,0.0002576,0.0002576,0.0002576
90,926.044,0.54757,0.15365,0,0.33577,0.92538,0.9993,1,0.995,0.69797,0.9993,1,0.995,0.995,1.16347,0.02845,0,0.39899,1.44461,0.0002378,0.0002378,0.0002378
91,939.501,0.49639,0.05473,0,0.27893,0.92158,0.99923,1,0.995,0.69017,0.99923,1,0.995,0.995,1.12623,0.03396,0,0.38385,1.40357,0.000218,0.000218,0.000218
92,950.22,0.46925,0.05101,0,0.26543,0.89272,0.99925,1,0.995,0.70403,0.99925,1,0.995,0.995,1.11102,0.02733,0,0.38872,1.40539,0.0001982,0.0001982,0.0001982
93,958.311,0.4728,0.045,0,0.26382,0.90401,0.99922,1,0.995,0.72362,0.99922,1,0.995,0.995,1.11648,0.02637,0,0.38376,1.41133,0.0001784,0.0001784,0.0001784
94,969.504,0.47413,0.04667,0,0.26859,0.91569,0.99929,1,0.995,0.70881,0.99929,1,0.995,0.995,1.12723,0.02661,0,0.38443,1.43346,0.0001586,0.0001586,0.0001586
95,977.588,0.47066,0.04395,0,0.27005,0.90612,0.99936,1,0.995,0.71434,0.99936,1,0.995,0.995,1.11054,0.02403,0,0.37075,1.42431,0.0001388,0.0001388,0.0001388
96,988.993,0.45495,0.04236,0,0.25536,0.88939,0.99939,1,0.995,0.7087,0.99939,1,0.995,0.995,1.15775,0.02331,0,0.39107,1.46376,0.000119,0.000119,0.000119
97,996.983,0.44583,0.03308,0,0.24596,0.89157,0.9994,1,0.995,0.71394,0.9994,1,0.995,0.995,1.15049,0.02289,0,0.38478,1.45372,9.92e-05,9.92e-05,9.92e-05
98,1007.98,0.43941,0.04014,0,0.2522,0.88564,0.99939,1,0.995,0.70311,0.99939,1,0.995,0.995,1.14626,0.02448,0,0.38484,1.44623,7.94e-05,7.94e-05,7.94e-05
99,1016.47,0.43142,0.03622,0,0.2434,0.86958,0.9994,1,0.995,0.7091,0.9994,1,0.995,0.995,1.13359,0.02405,0,0.37571,1.4315,5.96e-05,5.96e-05,5.96e-05
100,1026.99,0.43665,0.0363,0,0.24364,0.87378,0.9994,1,0.995,0.71393,0.9994,1,0.995,0.995,1.12277,0.02338,0,0.36908,1.41369,3.98e-05,3.98e-05,3.98e-05
