epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,968.003,0.56246,0.10748,0,0.35099,0.91705,0.99937,1,0.995,0.70495,0.99937,1,0.995,0.995,1.10403,0.02838,0,0.38529,1.37612,0.0002972,0.0002972,0.0002972
88,978.021,0.55219,0.11315,0,0.33448,0.93397,0.99939,1,0.995,0.72617,0.99939,1,0.995,0.995,1.10931,0.02627,0,0.39943,1.3895,0.0002774,0.0002774,0.0002774
89,988.12,0.55975,0.13228,0,0.33792,0.92159,0.99939,1,0.995,0.72892,0.99939,1,0.995,0.995,1.13461,0.02449,0,0.38993,1.42063,0.0002576,0.0002576,0.0002576
90,999.948,0.53871,0.1283,0,0.33097,0.92139,0.99938,1,0.995,0.73504,0.99938,1,0.995,0.995,1.12338,0.02851,0,0.38472,1.42012,0.0002378,0.0002378,0.0002378
91,1011.64,0.51134,0.04251,0,0.27994,0.93152,0.99937,1,0.995,0.74547,0.99937,1,0.995,0.995,1.05033,0.02674,0,0.36891,1.35785,0.000218,0.000218,0.000218
92,1023.32,0.48417,0.04266,0,0.27289,0.89659,0.99936,1,0.995,0.737,0.99936,1,0.995,0.995,1.08587,0.02857,0,0.36941,1.38494,0.0001982,0.0001982,0.0001982
93,1032.86,0.50145,0.03822,0,0.27404,0.92095,0.99934,1,0.995,0.74883,0.99934,1,0.995,0.995,1.07577,0.0278,0,0.38004,1.39766,0.0001784,0.0001784,0.0001784
94,1043.3,0.49139,0.0341,0,0.2697,0.93018,0.99934,1,0.995,0.72696,0.99934,1,0.995,0.995,1.08475,0.02468,0,0.38615,1.43486,0.0001586,0.0001586,0.0001586
95,1054.3,0.49034,0.03466,0,0.26711,0.9261,0.99936,1,0.995,0.7185,0.99936,1,0.995,0.995,1.07026,0.02336,0,0.37283,1.40343,0.0001388,0.0001388,0.0001388
96,1063.65,0.46432,0.03599,0,0.25657,0.89369,0.99936,1,0.995,0.70785,0.99936,1,0.995,0.995,1.12541,0.02321,0,0.38184,1.44165,0.000119,0.000119,0.000119
97,1075.32,0.46162,0.03116,0,0.24877,0.90258,0.99938,1,0.995,0.7122,0.99938,1,0.995,0.995,1.1181,0.02186,0,0.38117,1.4256,9.92e-05,9.92e-05,9.92e-05
98,1083.89,0.45577,0.03495,0,0.25257,0.89655,0.99938,1,0.995,0.70382,0.99938,1,0.995,0.995,1.11959,0.02233,0,0.37688,1.41909,7.94e-05,7.94e-05,7.94e-05
99,1096.2,0.45506,0.03126,0,0.2466,0.88331,0.99938,1,0.995,0.70772,0.99938,1,0.995,0.995,1.10383,0.02083,0,0.37205,1.40287,5.96e-05,5.96e-05,5.96e-05
100,1104.55,0.45896,0.03333,0,0.2488,0.8884,0.99937,1,0.995,0.71678,0.99937,1,0.995,0.995,1.08943,0.02048,0,0.37124,1.38571,3.98e-05,3.98e-05,3.98e-05
